cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9874476987447699,0.9874476987447699,0.9874476987447699,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.8403361344537814,0.819672131147541,0.8620689655172413,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9591002044989775,0.9710144927536232,0.9474747474747475,495.0,1
T-helper 22 cell,0.6086956521739131,0.5157894736842106,0.7424242424242424,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.5929203539823009,0.6504854368932039,0.5447154471544715,123.0,1
"effector CD8-positive, alpha-beta T cell",0.805111821086262,0.7974683544303798,0.8129032258064516,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.8043478260869565,0.7914438502673797,0.8176795580110497,181.0,1
gamma-delta T cell,0.49056603773584906,0.5,0.48148148148148145,81.0,1
mature NK T cell,0.852017937219731,0.9313725490196079,0.7851239669421488,121.0,1
mucosal invariant T cell,0.7272727272727272,0.7741935483870968,0.6857142857142857,70.0,1
naive B cell,1.0,1.0,1.0,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.841897233201581,0.8129770992366412,0.8729508196721312,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7697160883280757,0.7625,0.7770700636942676,157.0,1
